title|episodes|rate|genre|
Steins;Gate ||4.63|drama, mystery, postapocalyptic, sci-fi, thriller|
Riddle Story of Devil||4.1|drama, mystery|
Tari Tari||4.76|drama, music, slice of life|
Super Sonico - The Animation||3.35|drama, music, slice of life|
VOICE OF FOX|12|4.11|drama, music, slice of life|
Sound! Euphonium|27|4.65|drama, music, romance, slice of life|
Your lie in April|22|4.85|drama, music, romance, shonen|
Fuuka|12|3.4|drama, music, romance, shonen|
given|11|4.85|drama, music, romance|
Anonymous Noise||4.71|drama, music, romance|
Gasaraki||2.5|drama, mechas, sci-fi, supernatural|
Bokurano||4.17|drama, mechas, sci-fi|
Voices of a Distant Star||4.69|drama, mechas, postapocalyptic, romance, sci-fi|
Umamusume: Pretty Derby|13|4.51|drama, idols, slice of life, sports|
Love Live!|13|4.64|drama, idols, music, slice of life|
Wake Up, Girls!|35|4.26|drama, idols, music, slice of life|
DREAM FESTIVAL!|24|3.67|drama, idols, music|
Key the Metal Idol||3.6|drama, idols, mechas, sci-fi|
Young Black Jack|12|4.38|drama, historical, seinen, thriller|
Showa Genroku Rakugo Shinju|25|4.91|drama, historical, romance|
Utakoi|13|4.64|drama, historical, romance|
Emma: A Victorian Romance||4.67|drama, historical, romance|
Meiji Tokyo Renka|12|4.25|drama, historical, isekai, supernatural|
Diabolik Lovers||2.99|drama, harem, romance, supernatural|
Diabolik Lovers II MORE,BLOOD|12|3.54|drama, harem, romance, supernatural|
School Days||4.13|drama, harem, romance|
Mashiroiro Symphony||4.67|drama, harem, romance|
White Album||4.3|drama, harem, music, romance, seinen|
Uta no Prince Sama|39|4.42|drama, harem, music, romance|
White Album 2|13|4.3|drama, harem, idols, music, romance, slice of life|
Kono Aozora ni Yakusoku wo||4.6|drama, harem|
Rozen Maiden Zurückspulen||1.66|drama, fantasy, supernatural|
Rozen Maiden||4.94|drama, fantasy, supernatural|
Elegant Yokai Apartment Life|26|4.13|drama, fantasy, slice of life, supernatural|
Natsume Yuujinchou 6|13|4.97|drama, fantasy, slice of life, supernatural|
Natsume Yuujinchou|39|4.89|drama, fantasy, slice of life|
Natsume Yuujinchou 4|13|4.91|drama, fantasy, slice of life|
She and Her Cat -Everything Flows-|4|4.67|drama, fantasy, seinen, slice of life|
Phantom in the Twilight|12|3.58|drama, fantasy, romance, supernatural, thriller|
Sea Prince and the Fire Child||4.5|drama, fantasy, romance, supernatural|
Nagi no Asukara (Nagi-Asu: A Lull in the Sea)||4.72|drama, fantasy, romance, slice of life|
WorldEnd: What do you do at the end of the world? Are you busy? Will you save us|12|4.64|drama, fantasy, romance, sci-fi, seinen|
A Lull in the Sea (Nagi-Asu: Nagi no Asukara)||4.57|drama, fantasy, romance|
This Boy Suffers from Crystallization||3.17|drama, fantasy, romance|
Robot Carnival||5|drama, fantasy, postapocalyptic, sci-fi|
Swan Lake|||drama, fantasy, music, romance, shojo|
Puella Magi Madoka Magica||4.82|drama, fantasy, magical girls, thriller|
Restaurant to Another World|12|4.49|drama, fantasy, isekai, seinen, slice of life|
We Rent Tsukumogami|12|5|drama, fantasy, historical, romance, supernatural|
Starlight Promises|1|4.11|drama, fantasy, historical, romance|
Holy Knight||2.57|drama, fantasy, harem, seinen, supernatural|
Mizu no Kotoba||4.69|drama|
Chance Pop Session||4.69|drama|
Japanese Anime Classic Collection||3.96|drama|
Aooni The Blue Monster|14|3.18|comedy, supernatural, thriller|
Squid Girl|26|4.72|comedy, supernatural|
Welcome to Demon School! Iruma-kun|23|4.79|comedy, supernatural|
Dog & Scissors|12|3.93|comedy, supernatural|
Nanana's Buried Treasure|11|4.31|comedy, supernatural|
Ghost Stories||4.76|comedy, supernatural|
Magimoji Rurumo|14|4.35|comedy, supernatural|
Naked Wolves||2.6|comedy, sports|
You Don't Know Gunma Yet|12|3.14|comedy, slice of life, thriller|
How to Keep a Mummy|12|4.77|comedy, slice of life, supernatural|
The Helpful Fox Senko-san||4.82|comedy, slice of life, supernatural|
Gugure! Kokkuri-san|12|4.55|comedy, slice of life, supernatural|
Ms. Vampire who lives in my neighborhood.|12|4.42|comedy, slice of life, supernatural|
Hakone-chan|13|3|comedy, slice of life, supernatural|
Slam Dunk||4.7|comedy, slice of life, sports|
Clean Freak! Aoyama kun|12|3.58|comedy, slice of life, sports|
Encouragement Of Climb|26|4.4|comedy, slice of life, sports|
Anima Yell!|12|4.62|comedy, slice of life, sports|
Usakame|12|3.83|comedy, slice of life, sports|
Kaasan Mom's Life||4.69|comedy, slice of life|
Kanamemo||4.64|comedy, slice of life|
YuruYuri|36|4.64|comedy, slice of life|
Working!|14|4.78|comedy, slice of life|
Recorder and Randsell|39|4.31|comedy, slice of life|
Tsuritama|12|4.74|comedy, slice of life|
Poyopoyo|52|4.76|comedy, slice of life|
Polar Bear Cafe|5|4.62|comedy, slice of life|
Himouto! Umaru-chan|12|4.54|comedy, slice of life|
NEW GAME!|24|4.5|comedy, slice of life|
BLEND-S|12|4.53|comedy, slice of life|
Peeping Life||3.97|comedy, slice of life|
Asobi Asobase - workshop of fun -|12|4.81|comedy, slice of life|
AHO-GIRL|12|4.24|comedy, slice of life|
Cute High Earth Defense Club LOVE!|37|4.35|comedy, slice of life|
NANBAKA|26|4.44|comedy, slice of life|
Mr. Osomatsu|58|4.71|comedy, slice of life|
Is the Order a Rabbit?|24|4.73|comedy, slice of life|
Bananya|26|4.56|comedy, slice of life|
DENKI-GAI|12|4.52|comedy, slice of life|
Please tell me! Galko-chan|12|4.38|comedy, slice of life|
Amagi Brilliant Park||4.57|comedy, slice of life|
Yurumates3Dei|26|4.35|comedy, slice of life|
Ms. Koizumi-san Loves Ramen Noodles|12|3.34|comedy, slice of life|
Lovely Muuuuuuuco!|25|4.2|comedy, slice of life|
AIURA|12|4.2|comedy, slice of life|
Comic Girls|12|4.18|comedy, slice of life|
YUYUSHIKI||4.55|comedy, slice of life|
Onee-chan ga Kita|12|3.93|comedy, slice of life|
Chitose Get You!|26|4.24|comedy, slice of life|
Ai-Mai-Mi|13|3.54|comedy, slice of life|
KINMOZA!|24|4.5|comedy, slice of life|
WATATEN!: an Angel Flew Down to Me|13|4.59|comedy, slice of life|
MEGANEBU!||3.64|comedy, slice of life|
Komori-san Can't Decline!|13|3.33|comedy, slice of life|
Joshi Kausei|12|3.25|comedy, slice of life|
Chio's School Road|12|4.8|comedy, slice of life|
Amanchu!|25|4.37|comedy, slice of life|
Nyanko Days|12|4.38|comedy, slice of life|
Anne-Happy|12|4.12|comedy, slice of life|
Yotsuiro Biyori|12|4.9|comedy, slice of life|
Comical Psychosomatic Medicine|2|4.6|comedy, slice of life|
Danchigai|12|3.9|comedy, slice of life|
Hinako Note|12|3.93|comedy, slice of life|
Daily Lives of High School Boys||4.71|comedy, slice of life|
